LEA Record ID,Person Number,Date of Stop,Time of Stop,Duration of Stop,Is Stop Made in Response to Call for Service,Information Based Stop,Type Of Stop,Officer Type of Assignment,Location,City,Is Location a K12 Public School,If K12 School Is Stop of a Student,School Name,Education Code Section,Education Code Subdivision,Race Perceived Prior To Stop,Perceived Race or Ethnicity,Perceived Gender,Perceived Gender Nonconforming,Is LGBT,Perceived Age,Person had Limited or No English Fluency,Perceived or Known Disability,City of Residence,Reason for Stop,Reason for Stop Narrative,Traffic Violation Type,Traffic Violation Offense Codes,Suspicion Offense Code,Suspicion SubType,Actions Taken,Basis for Search,Basis for Search Narrative,Basis for Property Seizure,Type of Property Seized,Contraband or Evidence,Other Contraband Desc,Warning Offense Codes,Citation Offense Codes,Result of Stop,In field cite and release Offense Codes,Custodial arrest Offense Codes,LAT,LONG
BPD000021041,1,10/01/2020,18:05,30,true,,Pedestrian,"Patrol, traffic enforcement, field operations",1000 block of Harrison St,Berkeley,false,,,,,true,White,Male,false,false,40,false,None,BERKELEY,Reasonable suspicion,Subject matched suspect description,,,,Matched suspect description,5,,,,,None,,,,In-field cite and release,PC 242 BATTERY (M),,37.88194982,-122.2985652
BPD000021044,1,10/01/2020,23:18,6,false,,Vehicle,"Patrol, traffic enforcement, field operations",700 block of Carleton St,Berkeley,false,,,,,false,Black/African American,Female,false,false,25,false,None,ALAMEDA,Traffic Violation,Speed,Moving Violation,VC 22350 UNSAFE SPEED:PREVAIL COND (I),,,24,,,,,None,,VC 22350 UNSAFE SPEED:PREVAIL COND (I),,Warning (verbal or written),,,37.85650341,-122.2948728
BPD000021043,1,10/01/2020,22:31,5,false,,Pedestrian,"Patrol, traffic enforcement, field operations",1400 block of Ashby Ave,Berkeley,false,,,,,true,Black/African American,Male,false,false,25,false,None,BERKELEY,Consensual encounter resulting in search,Consensual encounter. No search,,,,,4|19|17|18|20,Consent given,No search was conducted,,,None,,,,No action,,,37.85338126,-122.2793238
BPD000021038,1,10/01/2020,17:25,3,false,,Pedestrian,"Patrol, traffic enforcement, field operations",Telegraph / Oregon,Berkeley,false,,,,,true,White,Male,false,false,50,false,None,BERKELEY,Reasonable suspicion,Carrying open container of beer,,,BP 25620 POSS OPEN ALCOHOL:PUBLIC (I),Officer witnessed commission of a crime,24,,,,,Other contraband or evidence,Open container of alcohol,BP 25620 POSS OPEN ALCOHOL:PUBLIC (I),,Warning (verbal or written),,,37.85860202,-122.2593415
BPD000021037,1,10/01/2020,17:25,4,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2000 block University Ave,Berkeley,false,,,,,true,White,Female,false,false,50,false,None,BERKELEY,Investigation to determine whether person was truant,Trespassing on private property,,,,,15,,,,,None,,PC 602 TRESPASSING (M),,Warning (verbal or written),,,37.87212457,-122.2687809
BPD000021040,1,10/01/2020,18:48,7,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2100 block of Shattuck ave,Berkeley,false,,,,,true,Asian,Male,false,false,60,false,Other disability,BERKELEY,Investigation to determine whether person was truant,Refusing to pay for food and leave,,,,,24,,,,,None,,,,No action,,,37.87079204,-122.2682772
BPD000021039,1,10/01/2020,18:19,5,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2700 block of Dwight Way,Berkeley,false,,,,,false,Black/African American|White,Male,false,false,30,false,None,BERKELEY,Reasonable suspicion,Reported to be breaking into apartment. Ended up being resident,,,,Matched suspect description,4,,,,,None,,,,No action,,,37.86579257,-122.2526013
BPD000021027,1,10/01/2020,09:34,6,false,,Vehicle,"Patrol, traffic enforcement, field operations",2800 block of College Ave,Berkeley,false,,,,,true,Asian,Female,false,false,40,false,None,BERKELEY,Traffic Violation,Failed to stop at stop sign,Moving Violation,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I),,,24,,,,,None,,,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I),Citation for infraction,,,37.85855559,-122.2529363
BPD000021019,1,10/01/2020,04:59,16,true,,Pedestrian,"Patrol, traffic enforcement, field operations",3100 block of College Ave,Berkeley,false,,,,,true,Black/African American,Male,false,false,40,false,None,BERKELEY,Reasonable suspicion,Burglary suspect,,,PC 459 BURGLARY:FIRST DEGREE (F),Matched suspect description|Witness or victim ID of suspect at the scene|Actions indicative of casing a victim or location,4|5|18|20|21,Condition of parole/probation/PRCS/mandatory supervision|Officer safety/safety of others|Visible contraband|Evidence of crime| Incident to arrest,Probation/incident to arrest,Evidence|Contraband,Other contraband or evidence,Other contraband or evidence,Burglary tool,,,Custodial arrest without warrant,,PC 459 BURGLARY:FIRST DEGREE (F),37.85375113,-122.2526771
BPD000021018,1,10/01/2020,05:05,24,false,,Vehicle,"Patrol, traffic enforcement, field operations",3100 block Mabel St,Berkeley,false,,,,,true,White,Male,false,false,25,false,None,OAKLAND,Traffic Violation,Traffic,Equipment Violation,VC 24250 DRIVE WITHOUT LIGHTS:DARK (I),,,2|5|18|20|21|22,Evidence of crime| Incident to arrest| Vehicle inventory,Arrest for 14601.1. Gun recovered in car,Evidence|Impound of vehicle,Firearms|Ammunition|Drugs/narcotics|Money|Drug paraphernalia|Cell phone(s) or electronic devices,Firearm(s)|Drug paraphernalia|Cell phone(s) or electronic device(s)|Drugs/narcotics|Ammunition,,,,Custodial arrest without warrant,,PC 29800(A)(1) FELON/ETC POSS/ETC F/ARM (F) | HS 11378 POSS CNTL SUB FOR SALE (F),37.85027054,-122.2829547
BPD000021021,1,10/01/2020,07:19,10,false,,Vehicle,"Patrol, traffic enforcement, field operations",10th St and University Ave,Berkeley,false,,,,,false,White,Female,false,false,20,false,None,BERKELEY,Traffic Violation,Speed,Moving Violation,VC 22350 UNSAFE SPEED:PREVAIL COND (I),,,24,,,,,None,,,VC 22350 UNSAFE SPEED:PREVAIL COND (I),Citation for infraction,,,37.86893006,-122.2933299
BPD000021020,1,10/01/2020,07:35,5,false,,Vehicle,"Patrol, traffic enforcement, field operations",University Ave and San Pablo Ave,Berkeley,false,,,,,false,White,Male,false,false,60,false,None,BERKELEY,Traffic Violation,Driving 40 mph in a business district,Moving Violation,VC 22349 EXCESSIVE SPEED (M),,,24,,,,,None,,,VC 22349 EXCESSIVE SPEED (M),Citation for infraction,,,37.86903368,-122.292171
BPD000021015,1,10/01/2020,00:13,15,false,,Pedestrian,"Patrol, traffic enforcement, field operations",900 block of Allston Way,Berkeley,false,,,,,true,Black/African American,Male,false,false,21,false,None,BERKELEY,Consensual encounter resulting in search,Flagged Down,,,,,18,Condition of parole/probation/PRCS/mandatory supervision,,,,None,,,,No action,,,37.86557988,-122.2944752
BPD000021032,1,10/01/2020,09:40,15,true,,Pedestrian,"Patrol, traffic enforcement, field operations",3000 block of San Pablo Ave,Berkeley,false,,,,,true,Black/African American,Male,false,false,35,false,None,BERKELEY,Reasonable suspicion,Subject was sleeping in a vacant apartment.,,,PC 602 TRESPASSING (M),Witness or victim ID of suspect at the scene|Officer witnessed commission of a crime,17|18,Consent given|Condition of parole/probation/PRCS/mandatory supervision,The subject gave consent and was on searchable probation out of Alameda County,,,None,,PC 602 TRESPASSING (M),,Warning (verbal or written),,,37.85185569,-122.2865526
BPD000021017,1,10/01/2020,04:58,45,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2100 block of Martin Luther King Jr Way,Berkeley,false,,,,,true,White,Male,false,false,25,false,Mental Health Condition,SAN FRANCISCO,Reasonable suspicion,5150 Dispatched,,,AA NA - XX COMMUNITY CARETAKING (X),Other reasonable suspicion of a crime,24,,,,,None,,,,Psychiatric hold (W&I Code 5150 or 5585.20),,,37.87026256,-122.2728881
BPD000021016,1,10/01/2020,03:00,25,true,,Pedestrian,"Patrol, traffic enforcement, field operations",1800 block of San Pablo Ave,Berkeley,false,,,,,true,Black/African American,Male,false,false,20,false,None,RICHMOND,Reasonable suspicion,Match description of shooting suspect,,,,Matched suspect description,4|5|18,Condition of parole/probation/PRCS/mandatory supervision,,,,None,,,,No action,,,37.87139686,-122.2930819
BPD000021024,1,10/01/2020,08:23,40,true,,Pedestrian,"Patrol, traffic enforcement, field operations",0 block of Spinnaker Way,Berkeley,false,,,,,true,Hispanic/Latino,Female,false,false,20,false,None,BERKELEY,Reasonable suspicion,Subject was walking around with chest exposed,,,AA NA - XX COMMUNITY CARETAKING (X),Other reasonable suspicion of a crime,5,,,,,None,,,,Psychiatric hold (W&I Code 5150 or 5585.20),,,37.8697601,-122.3195953
BPD000021023,2,10/01/2020,08:56,6,false,,Vehicle,"Patrol, traffic enforcement, field operations",2700 block of Russell St,Berkeley,false,,,,,true,White,Male,false,false,20,false,None,BERKELEY,Traffic Violation,Failed to stop at stop sign and passed illegally,Moving Violation,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I),,,24,,,,,None,,,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I) | VC 12500(B) OPR M/CYCLE W/O PROPR LIC (I),Citation for infraction,,,37.85850635,-122.2530046
BPD000021026,1,10/01/2020,09:30,10,false,,Vehicle,"Patrol, traffic enforcement, field operations",3000 block of College Ave,Berkeley,false,,,,,true,Asian,Male,false,false,35,false,None,OAKLAND,Traffic Violation,No Seatbelt,Moving Violation,VC 27315 SEATBELT VIOLATION (I),,,24,,,,,None,,,VC 27315 SEATBELT VIOLATION (I),Citation for infraction,,,37.85543413,-122.2529708
BPD000021025,1,10/01/2020,09:01,10,false,,Vehicle,"Patrol, traffic enforcement, field operations",2800 block of College Ave,Berkeley,false,,,,,true,White,Male,false,false,35,false,None,OAKLAND,Traffic Violation,Stop Sign,Moving Violation,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I),,,24,,,,,None,,,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I),Citation for infraction,,,37.85864532,-122.2528839
BPD000021022,1,10/01/2020,07:30,15,true,,Pedestrian,"Patrol, traffic enforcement, field operations",Kittredge St and Milvia St,Berkeley,false,,,,,false,White,Male,false,false,55,false,None,Unknown,Reasonable suspicion,RP called because subject refusing to leave,,,PC 602 TRESPASSING (M),Other reasonable suspicion of a crime,24,,,,,None,,PC 602 TRESPASSING (M),,Warning (verbal or written),,,37.86813816,-122.2703457
BPD000021023,1,10/01/2020,08:56,6,false,,Vehicle,"Patrol, traffic enforcement, field operations",2700 block of Russell St,Berkeley,false,,,,,true,White,Male,false,false,20,false,None,BERKELEY,Traffic Violation,"Failed to stop at stop sign, and passing illegally",Moving Violation,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I),,,24,,,,,None,,,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I) | VC 12500(B) OPR M/CYCLE W/O PROPR LIC (I),Citation for infraction,,,37.85850635,-122.2530046
BPD000021022,2,10/01/2020,07:30,15,true,,Pedestrian,"Patrol, traffic enforcement, field operations",Kittredge St and Milvia St,Berkeley,false,,,,,false,White,Female,false,false,45,false,Speech impairment or limited use of language,BERKELEY,Reasonable suspicion,To called because subject refusing to leave,,,PC 602 TRESPASSING (M),Other reasonable suspicion of a crime,24,,,,,None,,PC 602 TRESPASSING (M),,Warning (verbal or written),,,37.86813816,-122.2703457
BPD000021057,1,10/02/2020,13:26,12,false,,Pedestrian,"Patrol, traffic enforcement, field operations",2400 Block of Shattuck Ave.,Berkeley,false,,,,,true,White,Male,false,false,35,false,None,BERKELEY,Reasonable suspicion,Subj had open container in public. Also Had meth pipe in plain view.,,,BP 25620 POSS OPEN ALCOHOL:PUBLIC (I),Officer witnessed commission of a crime,4|21,,,Evidence|Contraband,Drug paraphernalia,Drug paraphernalia,,,,In-field cite and release,BP 25620 POSS OPEN ALCOHOL:PUBLIC (I),,37.86495451,-122.2676518
BPD000021055,1,10/02/2020,13:04,30,true,,Pedestrian,"Patrol, traffic enforcement, field operations",1400 block 7th street,Berkeley,false,,,,,true,Black/African American,Male,false,false,60,false,None,BERKELEY,Reasonable suspicion,Subject was a suspect of VC 10852 and PC 647f. Subject was pointed out by victim. Subject was 5150’d.,,,AA NA - XX COMMUNITY CARETAKING (X),Other reasonable suspicion of a crime,4|18,Consent given|Officer safety/safety of others,Subject gave consent. Searched for weapons and antenna he was suspected of stealing,,,None,,,,Psychiatric hold (W&I Code 5150 or 5585.20),,,37.87755858,-122.299697
BPD000021056,1,10/02/2020,13:06,5,false,,Vehicle,"Patrol, traffic enforcement, field operations",Cowper and Byron,Berkeley,false,,,,,false,Hispanic/Latino,Male,false,false,30,false,None,BERKELEY,Traffic Violation,Made left turn against a no left turn sign.,Moving Violation,VC 21461(A) DRIVER FAIL OBEY SIGN/ETC (I),,,24,,,,,None,,,VC 21461(A) DRIVER FAIL OBEY SIGN/ETC (I),Citation for infraction,,,37.86740534,-122.2901893
BPD000021054,1,10/02/2020,10:24,52,true,,Pedestrian,"Patrol, traffic enforcement, field operations",Walnut St and Delaware St,Berkeley,false,,,,,true,White,Male,false,false,45,false,None,BERKELEY,Reasonable suspicion,Possible theft of copper,,,PC 484 THEFT (M),Matched suspect description,4|20,Consent given|Evidence of crime,Search large cloth bag containing copper pipe.,,,None,,,,Field interview card completed,,,37.8751,-122.2675527
BPD000021053,1,10/02/2020,10:27,5,false,,Vehicle,"Patrol, traffic enforcement, field operations",I 80 on ramp at Ashby ave,Berkeley,false,,,,,false,Black/African American,Male,false,false,28,false,None,BERKELEY,Traffic Violation,Failed to stop at stop sign,Moving Violation,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I),,,24,,,,,None,,,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I),Citation for infraction,,,37.8490222,-122.2958712
BPD000021052,1,10/02/2020,10:05,10,false,,Vehicle,"Patrol, traffic enforcement, field operations",University Ave at I-580,Berkeley,false,,,,,true,Black/African American,Male,false,false,30,false,None,EMERYVILLE,Traffic Violation,No Seatbelt,Moving Violation,VC 27315 SEATBELT VIOLATION (I),,,24,,,,,None,,,VC 27315 SEATBELT VIOLATION (I),Citation for infraction,,,37.8667404,-122.3037553
BPD000021063,1,10/02/2020,11:22,20,false,,Vehicle,"Patrol, traffic enforcement, field operations",900 block of Folger Ave,Berkeley,false,,,,,false,White,Male,false,false,30,false,None,BERKELEY,Traffic Violation,No registration,Equipment Violation,VC 4000(A) NO REG:VEH/TRAILER/ETC (I),,,4|17|18|19|20,Consent given,Consent search,,,None,,VC 4000(A) NO REG:VEH/TRAILER/ETC (I),,Warning (verbal or written),,,37.85023183,-122.2898376
BPD000021061,1,10/02/2020,13:38,20,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2100 block of Center St,Berkeley,false,,,,,true,White,Female,false,false,50,false,Other disability,Unknown,Reasonable suspicion,stopped as ambassador pointed out suspect who spit on construction workers,,,PC 242 BAT AGAINST PEACE OFFICER (F),Witness or victim ID of suspect at the scene,24,,,,,None,,PC 242 BAT W/SERIOUS BODILY INJ (M),,Warning (verbal or written),,,37.87041799,-122.2667898
BPD000021062,1,10/02/2020,15:21,7,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2900 block of Martin Luther King Jr Way,Berkeley,false,,,,,true,Black/African American,Female,false,false,27,false,None,BERKELEY,Knowledge of outstanding arrest warrant/wanted person,Responsible for PC 245a4 and PC 148a1,,,,,5|1|18|17,Consent given| Incident to arrest,Search Incident to arrest,,,None,,,,Custodial arrest pursuant to outstanding warrant,,,37.85437778,-122.2711689
BPD000021058,1,10/02/2020,14:13,25,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2400 block of Ashby Ave,Berkeley,false,,,,,false,White,Female,false,false,25,false,Mental Health Condition,BERKELEY,Reasonable suspicion,Suicidal 5150 hold,,,AA NA - XX COMMUNITY CARETAKING (X),Other reasonable suspicion of a crime,24,,,,,None,,,,Psychiatric hold (W&I Code 5150 or 5585.20),,,37.85556903,-122.2571362
BPD000021059,1,10/02/2020,15:13,30,false,,Pedestrian,"Patrol, traffic enforcement, field operations",1900 block of Center St,Berkeley,false,,,,,true,Black/African American,Male,false,false,35,false,None,BERKELEY,Parole/probation/PRCS/mandatory supervision,Suspect known to be on parole and also a person of interest in an investigation.,,,,,4|16|18|20,Condition of parole/probation/PRCS/mandatory supervision,,,,None,,,,No action,,,37.86983097,-122.2716217
BPD000021060,1,10/02/2020,12:48,38,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2400 block of Bowditch St,Berkeley,false,,,,,true,Black/African American,Male,false,false,30,false,None,BERKELEY,Knowledge of outstanding arrest warrant/wanted person,I knew he was wanted.,,,,,5|16|21|18,Incident to arrest,Arrested and on parole,Safekeeping as allowed by law/statute|Evidence,Drug paraphernalia| Other contraband or evidence,Drug paraphernalia|Other contraband or evidence,Documents,,,Custodial arrest pursuant to outstanding warrant,,,37.86552302,-122.2563334
BPD000021046,2,10/02/2020,02:29,10,false,,Vehicle,"Patrol, traffic enforcement, field operations",3200 block of Sacramento St,Berkeley,false,,,,,false,Black/African American,Female,false,false,22,false,None,BERKELEY,Reasonable suspicion,Sex in public,,,PC 647(A) SOLICIT LEWD ACT (M),Officer witnessed commission of a crime,24,,,,,None,,,,No action,,,37.84900919,-122.2779941
BPD000021047,1,10/02/2020,03:17,40,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2000 block of Haste St,Berkeley,false,,,,,false,Hispanic/Latino,Male,false,false,55,false,Mental Health Condition,Unknown,Reasonable suspicion,Subject met 5150 criteria for gravely disabled,,,AA NA - XX COMMUNITY CARETAKING (X),Other reasonable suspicion of a crime,17|19|18|20,Consent given|Officer safety/safety of others,Pat down for weapons prior to Medical transport,,,None,,,,Psychiatric hold (W&I Code 5150 or 5585.20),,,37.86413819,-122.2684406
BPD000021046,1,10/02/2020,02:29,10,false,,Vehicle,"Patrol, traffic enforcement, field operations",3200 block of Sacramento St,Berkeley,false,,,,,false,Black/African American,Male,false,false,25,false,None,OAKLAND,Reasonable suspicion,Sex in public,,,PC 647(A) SOLICIT LEWD ACT (M),Other reasonable suspicion of a crime,24,,,,,None,,,,No action,,,37.84900919,-122.2779941
BPD000021050,1,10/02/2020,09:02,6,false,,Vehicle,"Patrol, traffic enforcement, field operations",3000 block of 7th St,Berkeley,false,,,,,false,Hispanic/Latino,Male,false,false,25,false,None,BERKELEY,Traffic Violation,Crossed center line while making a left turn with oncoming traffic.,Moving Violation,VC 22107 UNSAF TURN &/OR NO SIGNAL (I),,,24,,,,,None,,,VC 22107 UNSAF TURN &/OR NO SIGNAL (I),Citation for infraction,,,37.85049414,-122.2909264
BPD000021045,1,10/02/2020,00:38,10,false,,Vehicle,"Patrol, traffic enforcement, field operations",1200 block of University Ave,Berkeley,false,,,,,false,Asian,Male,false,false,25,false,None,BERKELEY,Traffic Violation,Expired tags,Equipment Violation,VC 5204(A) EXPIRED TABS/FAIL DISPLAY (I),,,24,,,,,None,,VC 5204(A) EXPIRED TABS/FAIL DISPLAY (I),,Warning (verbal or written),,,37.86976148,-122.2880052
BPD000021051,2,10/02/2020,08:58,10,true,,Pedestrian,"Patrol, traffic enforcement, field operations",400 block of University Ave,Berkeley,false,,,,,false,White,Female,false,false,40,true,None,EL SOBRANTE,Reasonable suspicion,Parked illegally side of road,,,,Other reasonable suspicion of a crime,4,,,,,None,,VC 22500 PARKING/ETC VIO:SPEC CIRC (I),,Warning (verbal or written),,,37.86518605,-122.3103583
BPD000021051,1,10/02/2020,08:58,10,true,,Pedestrian,"Patrol, traffic enforcement, field operations",400 block of University Ave,Berkeley,false,,,,,false,White,Male,false,false,40,true,None,EL SOBRANTE,Reasonable suspicion,Parked on the side of the road illegally,,,,Other reasonable suspicion of a crime,4,,,,,None,,VC 22500 PARKING/ETC VIO:SPEC CIRC (I),,Warning (verbal or written),,,37.86518605,-122.3103583
BPD000021048,1,10/02/2020,05:04,10,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2100 block Ward,Berkeley,false,,,,,false,White,Male,false,false,45,false,None,BERKELEY,Reasonable suspicion,Theft,,,PC 484 THEFT (M),Matched suspect description,16,,,,,None,,PC 484 THEFT (M),,Warning (verbal or written),,,37.85946895,-122.2669414
BPD000021049,1,10/02/2020,07:58,10,true,,Pedestrian,"Patrol, traffic enforcement, field operations",1800 block of Euclid,Berkeley,false,,,,,false,Black/African American,Male,false,false,48,false,None,BERKELEY,Reasonable suspicion,Trespassing report,,,PC 602 TRESPASSING (M),Officer witnessed commission of a crime|Matched suspect description|Witness or victim ID of suspect at the scene,24,,,,,None,,,PC 602 TRESPASSING (M),Citation for infraction,,,37.87567295,-122.260207
BPD000021085,1,10/03/2020,16:17,26,true,,Pedestrian,"Patrol, traffic enforcement, field operations",1100 block of Euclid Ave,Berkeley,false,,,,,true,White,Male,false,false,35,false,None,BERKELEY,Reasonable suspicion,victim of 273.5 PC pointed out suspect to me,,,PC 273.5 INFLICT CRPL INJ SP/COHAB (F),Witness or victim ID of suspect at the scene,5,,,,,None,,,,Custodial arrest without warrant,,PC 273.5 INFLICT CRPL INJ SP/COHAB (F),37.88834781,-122.261172
BPD000021086,1,10/03/2020,20:01,60,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2300 block of 7th St,Berkeley,false,,,,,false,Black/African American,Male,false,false,25,false,Mental Health Condition,BERKELEY,Reasonable suspicion,Evaluated mental health and then placed on a hold.,,,AA NA - XX COMMUNITY CARETAKING (X),Other reasonable suspicion of a crime,5|6,,,,,None,,,,Psychiatric hold (W&I Code 5150 or 5585.20),,,37.86240087,-122.2947942
BPD000021089,1,10/03/2020,20:57,8,false,,Vehicle,"Patrol, traffic enforcement, field operations",1000 block of Gilman St,Berkeley,false,,,,,false,Hispanic/Latino,Male,false,false,50,false,None,EL SOBRANTE,Reasonable suspicion,Parked across three parking spots,,,,Actions indicative of casing a victim or location,3,,,,,None,,,,No action,,,37.87985271,-122.2965502
